Package                                   Version               Build                         Size       Kind   Source
googleapis-common-protos                  1.70.0                pyhd8ed1ab_0                  138.8 KiB  conda  https://conda.anaconda.org/conda-forge/
grpcio                                    1.71.0                py313he3ef9dc_1               823.7 KiB  conda  https://conda.anaconda.org/conda-forge/
grpcio-reflection                         1.71.0                pyhd8ed1ab_0                  27.2 KiB   conda  https://conda.anaconda.org/conda-forge/
grpcio-tools                              1.71.0                py313h7edee73_1               170.8 KiB  conda  https://conda.anaconda.org/conda-forge/
h11                                       0.16.0                pyhd8ed1ab_0                  36.8 KiB   conda  https://conda.anaconda.org/conda-forge/
h2                                        4.2.0                 pyhd8ed1ab_0                  52.6 KiB   conda  https://conda.anaconda.org/conda-forge/
hf-transfer                               0.1.9                 py313h68a744c_1               1.2 MiB    conda  https://conda.anaconda.org/conda-forge/
hf-xet                                    1.1.5                 py39h7e234a0_3                2.2 MiB    conda  https://conda.anaconda.org/conda-forge/
hpack                                     4.1.0                 pyhd8ed1ab_0                  30 KiB     conda  https://conda.anaconda.org/conda-forge/
httpcore                                  1.0.9                 pyh29332c3_0                  48.3 KiB   conda  https://conda.anaconda.org/conda-forge/
httptools                                 0.6.4                 py313h90d716c_0               82.7 KiB   conda  https://conda.anaconda.org/conda-forge/
httpx                                     0.28.1                pyhd8ed1ab_0                  61.6 KiB   conda  https://conda.anaconda.org/conda-forge/
huggingface_hub                           0.33.1                pyhd8ed1ab_0                  310.3 KiB  conda  https://conda.anaconda.org/conda-forge/
hyperframe                                6.1.0                 pyhd8ed1ab_0                  17 KiB     conda  https://conda.anaconda.org/conda-forge/
idna                                      3.10                  pyhd8ed1ab_1                  48.6 KiB   conda  https://conda.anaconda.org/conda-forge/
importlib-metadata                        8.5.0                 pyha770c72_1                  28 KiB     conda  https://conda.anaconda.org/conda-forge/
jinja2                                    3.1.6                 pyhd8ed1ab_0                  110.1 KiB  conda  https://conda.anaconda.org/conda-forge/
krb5                                      1.21.3                h237132a_0                    1.1 MiB    conda  https://conda.anaconda.org/conda-forge/
lame                                      3.100                 h1a8c8d9_1003                 516.4 KiB  conda  https://conda.anaconda.org/conda-forge/
lcms2                                     2.17                  h7eeda09_0                    207.2 KiB  conda  https://conda.anaconda.org/conda-forge/
lerc                                      4.0.0                 hd64df32_1                    183.9 KiB  conda  https://conda.anaconda.org/conda-forge/
libabseil                                 20250127.1            cxx17_h07bc746_0              1.1 MiB    conda  https://conda.anaconda.org/conda-forge/
libarrow                                  20.0.0                hd5f8272_8_cpu                5.4 MiB    conda  https://conda.anaconda.org/conda-forge/
libarrow-acero                            20.0.0                hf07054f_8_cpu                491.4 KiB  conda  https://conda.anaconda.org/conda-forge/
libarrow-dataset                          20.0.0                hf07054f_8_cpu                491 KiB    conda  https://conda.anaconda.org/conda-forge/
libarrow-substrait                        20.0.0                he749cb8_8_cpu                440.2 KiB  conda  https://conda.anaconda.org/conda-forge/
libasprintf                               0.24.1                h493aca8_0                    51 KiB     conda  https://conda.anaconda.org/conda-forge/
libasprintf-devel                         0.24.1                h493aca8_0                    34.2 KiB   conda  https://conda.anaconda.org/conda-forge/
libblas                                   3.9.0                 32_h10e41b3_openblas          17.1 KiB   conda  https://conda.anaconda.org/conda-forge/
libbrotlicommon                           1.1.0                 h5505292_3                    67.4 KiB   conda  https://conda.anaconda.org/conda-forge/
libbrotlidec                              1.1.0                 h5505292_3                    28.6 KiB   conda  https://conda.anaconda.org/conda-forge/
libbrotlienc                              1.1.0                 h5505292_3                    268 KiB    conda  https://conda.anaconda.org/conda-forge/
libcblas                                  3.9.0                 32_hb3479ef_openblas          17.1 KiB   conda  https://conda.anaconda.org/conda-forge/
libcrc32c                                 1.1.2                 hbdafb3b_0                    18.3 KiB   conda  https://conda.anaconda.org/conda-forge/
libcurl                                   8.14.1                h73640d1_0                    394 KiB    conda  https://conda.anaconda.org/conda-forge/
libcxx                                    20.1.7                ha82da77_0                    553.9 KiB  conda  https://conda.anaconda.org/conda-forge/
libdeflate                                1.24                  h5773f1b_0                    53.5 KiB   conda  https://conda.anaconda.org/conda-forge/
libedit                                   3.1.20250104          pl5321hafb1f1b_0              105.2 KiB  conda  https://conda.anaconda.org/conda-forge/
libev                                     4.33                  h93a5062_2                    104.9 KiB  conda  https://conda.anaconda.org/conda-forge/
libevent                                  2.1.12                h2757513_1                    359.5 KiB  conda  https://conda.anaconda.org/conda-forge/
libexpat                                  2.7.0                 h286801f_0                    64.2 KiB   conda  https://conda.anaconda.org/conda-forge/
libffi                                    3.4.6                 h1da3d7d_1                    38.9 KiB   conda  https://conda.anaconda.org/conda-forge/
libflac                                   1.4.3                 hb765f3a_0                    307 KiB    conda  https://conda.anaconda.org/conda-forge/
libfreetype                               2.13.3                hce30654_1                    7.6 KiB    conda  https://conda.anaconda.org/conda-forge/
libfreetype6                              2.13.3                h1d14073_1                    325.7 KiB  conda  https://conda.anaconda.org/conda-forge/
libgettextpo                              0.24.1                h493aca8_0                    172.8 KiB  conda  https://conda.anaconda.org/conda-forge/
libgettextpo-devel                        0.24.1                h493aca8_0                    36.8 KiB   conda  https://conda.anaconda.org/conda-forge/
libgfortran                               5.0.0                 14_2_0_h6c33f7e_103           152.6 KiB  conda  https://conda.anaconda.org/conda-forge/
libgfortran5                              14.2.0                h6c33f7e_103                  787.7 KiB  conda  https://conda.anaconda.org/conda-forge/
libgoogle-cloud                           2.36.0                h9484b08_1                    853.9 KiB  conda  https://conda.anaconda.org/conda-forge/
libgoogle-cloud-storage                   2.36.0                h7081f7f_1                    517 KiB    conda  https://conda.anaconda.org/conda-forge/
libgrpc                                   1.71.0                h857da87_1                    4.7 MiB    conda  https://conda.anaconda.org/conda-forge/
libiconv                                  1.18                  hfe07756_1                    665.8 KiB  conda  https://conda.anaconda.org/conda-forge/
libintl                                   0.24.1                h493aca8_0                    88.4 KiB   conda  https://conda.anaconda.org/conda-forge/
libintl-devel                             0.24.1                h493aca8_0                    39.2 KiB   conda  https://conda.anaconda.org/conda-forge/
libjpeg-turbo                             3.1.0                 h5505292_0                    540.6 KiB  conda  https://conda.anaconda.org/conda-forge/
liblapack                                 3.9.0                 32_hc9a63f6_openblas          17.1 KiB   conda  https://conda.anaconda.org/conda-forge/
liblzma                                   5.8.1                 h39f12f2_2                    90.1 KiB   conda  https://conda.anaconda.org/conda-forge/
