Package                                   Version               Build                         Size       Kind   Source
watchfiles                                1.1.0                 py313hdde674f_0               358.9 KiB  conda  https://conda.anaconda.org/conda-forge/
websockets                                15.0.1                py313h90d716c_0               268 KiB    conda  https://conda.anaconda.org/conda-forge/
wrapt                                     1.17.2                py313h90d716c_0               59.7 KiB   conda  https://conda.anaconda.org/conda-forge/
xgrammar                                  0.1.18                py313h3d03e78_1               446.8 KiB  conda  https://conda.anaconda.org/conda-forge/
xorg-libxau                               1.0.12                h5505292_0                    13.3 KiB   conda  https://conda.anaconda.org/conda-forge/
xorg-libxdmcp                             1.1.5                 hd74edd7_0                    18.1 KiB   conda  https://conda.anaconda.org/conda-forge/
xxhash                                    0.8.3                 haa4e116_0                    96.6 KiB   conda  https://conda.anaconda.org/conda-forge/
yaml                                      0.2.5                 h3422bc3_2                    86 KiB     conda  https://conda.anaconda.org/conda-forge/
yarl                                      1.20.1                py313ha9b7d5b_0               141.8 KiB  conda  https://conda.anaconda.org/conda-forge/
zeromq                                    4.3.5                 hc1bb282_7                    275 KiB    conda  https://conda.anaconda.org/conda-forge/
zipp                                      3.23.0                pyhd8ed1ab_0                  22.4 KiB   conda  https://conda.anaconda.org/conda-forge/
zlib                                      1.3.1                 h8359307_2                    75.8 KiB   conda  https://conda.anaconda.org/conda-forge/
zstandard                                 0.23.0                py313h90d716c_2               524 KiB    conda  https://conda.anaconda.org/conda-forge/
zstd                                      1.5.7                 h6491c7d_2                    390.6 KiB  conda  https://conda.anaconda.org/conda-forge/
